title,summary,link,date,source
Watch how rare sperm is found in IVF lab,We go inside a New York City lab developing new tech to increase IVF success rates for patients.,https://www.bbc.com/reel/video/p0l79j3y/watch-how-rare-sperm-is-found-in-ivf-lab,2025-05-11,BBC Technology
A reporter's quest for the perfect fragrance,An immersive experience floating through a 'scent galaxy' offers a different sense of reality.,https://www.bbc.com/reel/video/p0l4ktgg/the-tech-that-can-help-you-pick-better-perfumes,2025-05-11,BBC Technology
The bitcoin miners in rural Zambia,Tech Now visits Zambia to see how Bitcoin is helping to provide villagers with electricity.,https://www.bbc.com/reel/video/p0l3kppx/the-bitcoin-miners-in-rural-zambia,2025-05-11,BBC Technology
How Karen Dunbar helped craft her Bafta-winning video game character,The comedian won best supporting actor for her role as Finlay in Still Wakes the Deep.,https://www.bbc.com/news/videos/cr5dd2j6885o,2025-05-11,BBC Technology
What's inside a black hole?,Black holes are one of the mysteries of the universe where all the laws of nature as we know them stop working.,https://www.bbc.com/reel/video/p0l39967/what-s-inside-a-black-hole-,2025-05-11,BBC Technology
Will electric flight take off?,The Tech Now team take to the skies in Sweden to explore developments in electric flight to clean up air travel.,https://www.bbc.com/reel/video/p0l1tqzg/will-electric-flight-take-off-,2025-05-11,BBC Technology
Pupils studying esports in Scottish Borders school,The esports course serves as a starting point for learners who want a career in the sector.,https://www.bbc.com/news/videos/cvgp41z2rl7o,2025-05-11,BBC Technology
Using bubbles to remove forever chemicals from our water,BBC Click visits a UK research team working on a solution to remove toxic chemicals known as PFAS from water.,https://www.bbc.com/reel/video/p0kyqdqb/using-bubbles-to-remove-forever-chemicals-from-our-water,2025-05-11,BBC Technology
The open secret about rare earth minerals,"They are the focus of many diplomatic skirmishes, but how are rare earth minerals used and where are they found?",https://www.bbc.com/reel/video/p0kzpqzn/the-open-secret-about-rare-earth-minerals,2025-05-11,BBC Technology
Can smart phones get smarter?,BBC Click attends the Mobile World Congress to test the latest tech products and trends.,https://www.bbc.com/reel/video/p0kyxng6/can-smart-phones-get-smarter,2025-05-11,BBC Technology
Can technology help reduce Parkinson’s symptoms?,BBC Click visits a Madrid hospital to see patients treated with an ultrasound for tremors.,https://www.bbc.com/reel/video/p0kx88wb/can-technology-help-reduce-parkinson-s-symptoms-,2025-05-11,BBC Technology
How sex with Neanderthals changed us forever,We find out what we gained when Homo sapiens mated with Homo neanderthalensis many thousands of years ago.,https://www.bbc.com/reel/video/p0kytlx7/how-sex-with-neanderthals-changed-us-forever,2025-05-11,BBC Technology
The Lion King: How Mufasa was brought to life,BBC Click speaks to the visual effects team behind the latest Disney blockbuster.,https://www.bbc.com/reel/video/p0ksnjny/the-lion-king-how-mufasa-was-brought-to-life,2025-05-11,BBC Technology
A real-life flying car takes to the skies,"From science-fiction to the real world, flying cars are here - but could the concept actually take off?",https://www.bbc.com/news/videos/cx20nwlqe07o,2025-05-11,BBC Technology
How the TikTok ban affected US influencers,BBC Click meets TikTok creator Peggy Xu who gained millions of views sharing milk videos.,https://www.bbc.com/reel/video/p0kskfv5/how-the-tiktok-ban-affected-us-influencers,2025-05-11,BBC Technology
A 'clinic in a box' that can check whether you're healthy,The 'clinic' in a box' is a remote doctor's appointment that can take place anywhere.,https://www.bbc.com/reel/video/p0kngv9j/a-clinic-in-a-box-that-can-check-whether-you-re-healthy,2025-05-11,BBC Technology
How did Darwin come up with his theory of evolution?,"The British naturalist embarked on an extraordinary journey, did hundreds of experiments, and wrote for 20 years.",https://www.bbc.com/reel/video/p0kqkmz3/theory-of-evolution-how-did-charles-darwin-come-up-with-it-,2025-05-11,BBC Technology
Is this the world's first AI-powered hotel?,BBC Click's Paul Carter visits the world's first fully AI-powered hotel in Las Vegas.,https://www.bbc.com/reel/video/p0knz6vh/is-this-the-world-s-first-ai-powered-hotel-,2025-05-11,BBC Technology
Jesse Eisenberg scorns association with Zuckerberg,"The actor, who played the Facebook boss, says he is making vulnerable people ""feel threatened"".",https://www.bbc.com/news/videos/c9w5n49kykro,2025-05-11,BBC Technology
Could an Arctic underground vault save our data?,BBC Click explores an Arctic vault that stores digital artefacts from across the globe.,https://www.bbc.com/reel/video/p0kl6b3n/could-an-arctic-underground-vault-save-our-data-,2025-05-11,BBC Technology
